from;to;migration
Czech Republic;Samoa;0
Czech Republic;Sao Tome & Principe;0
Czech Republic;Solomon Islands;0
Czech Republic;South Sudan;0
Czech Republic;Swaziland;0
Czech Republic;Timor-Leste;0
Czech Republic;Tonga;0
Czech Republic;Vanuatu;0
Czech Republic;Virgin Islands;0
Czech Republic;Western Sahara;0
Denmark;Germany;16634
Denmark;United States;12309
Denmark;United Kingdom;9442
Denmark;Sweden;8543
Denmark;Norway;7687
Denmark;Turkey;7357
Denmark;Poland;4827
Denmark;Canada;4575
Denmark;Romania;3859
Denmark;Spain;2911
Denmark;Iraq;2827
Denmark;Italy;2567
Denmark;Australia;2545
Denmark;France;2260
Denmark;Netherlands;1984
Denmark;Iran;1858
Denmark;Switzerland;1798
Denmark;South Africa;1719
Denmark;Ukraine;1668
Denmark;Thailand;1582
Denmark;Bosnia & Herzegovina;1561
Denmark;Russia;1531
Denmark;Pakistan;1513
Denmark;Iceland;1506
Denmark;Bulgaria;1459
Denmark;Lebanon;1433
Denmark;China;1412
Denmark;Philippines;1407
Denmark;Serbia;1321
Denmark;Lithuania;1320
Denmark;Afghanistan;1299
Denmark;Vietnam;1228
Denmark;Somalia;1176
Denmark;India;1159
Denmark;Austria;1126
Denmark;Syria;1113
Denmark;Belgium;1071
Denmark;South Korea;1007
Denmark;New Zealand;968
Denmark;Finland;954
Denmark;Hungary;948
Denmark;Croatia;893
Denmark;Israel;840
Denmark;Greece;789
Denmark;Sri Lanka;789
Denmark;Brazil;676
Denmark;Morocco;646
Denmark;Ireland;604
Denmark;Latvia;604
Denmark;Colombia;521
Denmark;Czech Republic;479
Denmark;Slovenia;469
Denmark;Japan;451
Denmark;Slovakia;431
Denmark;Portugal;384
Denmark;Estonia;383
Denmark;Ethiopia;372
Denmark;Peru;369
Denmark;Egypt;367
Denmark;Kazakhstan;362
Denmark;Macedonia;357
Denmark;Eritrea;330
Denmark;Nepal;313
Denmark;Luxembourg;297
Denmark;Belarus;288
Denmark;Kenya;254
Denmark;Ghana;238
Denmark;Jordan;231
Denmark;Mexico;225
Denmark;Venezuela;225
Denmark;Uganda;224
Denmark;Libya;214
Denmark;Malta;211
Denmark;Argentina;210
Denmark;Saudi Arabia;196
Denmark;Myanmar;195
Denmark;Chile;187
Denmark;Nigeria;179
Denmark;DR Congo;173
Denmark;Bangladesh;141
Denmark;Kuwait;141
Denmark;Indonesia;133
Denmark;Ecuador;124
Denmark;Algeria;120
Denmark;Tunisia;115
Denmark;Tanzania;111
Denmark;Malaysia;108
Denmark;Montenegro;107
Denmark;Uzbekistan;100
Denmark;Botswana;95
Denmark;Sudan;94
Denmark;United Arab Emirates;90
Denmark;Cameroon;89
Denmark;Bolivia;88
Denmark;Singapore;87
Denmark;Armenia;81
Denmark;Cyprus;81
Denmark;Gambia;78
Denmark;Moldova;78
Denmark;Bhutan;76
Denmark;Congo;73
Denmark;Zambia;69
Denmark;Azerbaijan;66
Denmark;Burundi;64
Denmark;Cuba;60
Denmark;Tajikistan;54
Denmark;Ivory Coast;53
Denmark;Panama;52
Denmark;North Korea;47
Denmark;Rwanda;47
Denmark;Yemen;44
Denmark;Sierra Leone;42
Denmark;Zimbabwe;39
Denmark;Costa Rica;37
Denmark;Albania;35
Denmark;Georgia;34
Denmark;Guatemala;33
Denmark;Guinea;32
Denmark;Nicaragua;29
Denmark;Qatar;29
Denmark;Mozambique;28
Denmark;Cambodia;27
Denmark;Dominican Republic;27
Denmark;Uruguay;27
Denmark;Angola;26
Denmark;Namibia;23
Denmark;Senegal;23
Denmark;Liberia;21
Denmark;Honduras;19
Denmark;Gabon;18
Denmark;Bahrain;17
Denmark;Haiti;17
Denmark;Mauritius;17
Denmark;Togo;17
Denmark;Trinidad & Tobago;17
Denmark;Jamaica;16
Denmark;Kyrgyzstan;16
Denmark;Burkina Faso;13
Denmark;Djibouti;11
Denmark;Oman;11
Denmark;Guinea-Bissau;10
Denmark;Mali;10
Denmark;Benin;9
Denmark;Malawi;9
Denmark;Mongolia;9
Denmark;Paraguay;9
Denmark;El Salvador;8
Denmark;Guyana;8
Denmark;Madagascar;8
Denmark;Palestine;8
Denmark;Bahamas;7
Denmark;Hong Kong;7
Denmark;Laos;7
Denmark;Lesotho;5
Denmark;Swaziland;5
Denmark;Barbados;4
Denmark;Equatorial Guinea;4
Denmark;Mauritania;4
Denmark;South Sudan;4
Denmark;Turkmenistan;4
Denmark;Cape Verde;3
Denmark;Central African Republic;3
Denmark;Chad;3
Denmark;Channel Islands;3
Denmark;Suriname;3
Denmark;Belize;2
Denmark;Brunei;2
Denmark;Fiji;2
Denmark;Niger;2
Denmark;Aruba;1
Denmark;Comoros;1
Denmark;French Guiana;1
Denmark;Grenada;1
Denmark;Guadeloupe;1
Denmark;Guam;1
Denmark;Macao;1
Denmark;Maldives;1
Denmark;Martinique;1
Denmark;New Caledonia;1
Denmark;Papua New Guinea;1
Denmark;Puerto Rico;1
Denmark;Reunion;1
Denmark;Saint Lucia;1
Denmark;Samoa;1
Denmark;Tonga;1
Denmark;Vanuatu;1
Denmark;Denmark;0
Denmark;French Polynesia;0
Denmark;Mayotte;0
Denmark;Micronesia;0
Denmark;Saint Vincent & Grenadines;0
Denmark;Sao Tome & Principe;0
Denmark;Solomon Islands;0
Denmark;Timor-Leste;0
Denmark;Virgin Islands;0
Denmark;Western Sahara;0
Djibouti;Somalia;9608
Djibouti;Ethiopia;3205
Djibouti;France;2158
Djibouti;Yemen;889
Djibouti;Canada;760
Djibouti;Belgium;587
Djibouti;Libya;390
Djibouti;Kenya;334
Djibouti;Sweden;292
Djibouti;United States;270
Djibouti;United Kingdom;268
Djibouti;Egypt;241
Djibouti;Netherlands;136
Djibouti;Switzerland;73
Djibouti;Australia;62
Djibouti;Germany;57
Djibouti;Norway;51
Djibouti;South Africa;49
Djibouti;Uganda;34
Djibouti;Italy;30
Djibouti;Finland;23
Djibouti;Saudi Arabia;22
Djibouti;Spain;17
Djibouti;Greece;16
Djibouti;Austria;15
Djibouti;Luxembourg;14
Djibouti;South Sudan;13
Djibouti;United Arab Emirates;12
Djibouti;Denmark;11
Djibouti;Israel;10
Djibouti;Romania;10
Djibouti;Algeria;9
Djibouti;Malta;6
Djibouti;Kuwait;4
Djibouti;Guinea;3
Djibouti;Hungary;3
Djibouti;Turkey;3
Djibouti;Eritrea;2
Djibouti;Malaysia;2
Djibouti;Qatar;2
Djibouti;Tanzania;2
Djibouti;Bahrain;1
Djibouti;Jordan;1
Djibouti;New Zealand;1
Djibouti;Russia;1
Djibouti;Sudan;1
Djibouti;Syria;1
Djibouti;Afghanistan;0
Djibouti;Albania;0
Djibouti;Angola;0
Djibouti;Argentina;0
Djibouti;Armenia;0
Djibouti;Aruba;0
Djibouti;Azerbaijan;0
Djibouti;Bahamas;0
Djibouti;Bangladesh;0
Djibouti;Barbados;0
Djibouti;Belarus;0
Djibouti;Belize;0
Djibouti;Benin;0
Djibouti;Bhutan;0
Djibouti;Bolivia;0
Djibouti;Bosnia & Herzegovina;0
Djibouti;Botswana;0
Djibouti;Brazil;0
Djibouti;Brunei;0
Djibouti;Bulgaria;0
Djibouti;Burkina Faso;0
Djibouti;Burundi;0
Djibouti;Cambodia;0
Djibouti;Cameroon;0
Djibouti;Cape Verde;0
Djibouti;Central African Republic;0
Djibouti;Chad;0
Djibouti;Channel Islands;0
Djibouti;Chile;0
Djibouti;China;0
Djibouti;Colombia;0
Djibouti;Comoros;0
Djibouti;Congo;0
Djibouti;Costa Rica;0
Djibouti;Croatia;0
Djibouti;Cuba;0
Djibouti;Cyprus;0
Djibouti;Czech Republic;0
Djibouti;Djibouti;0
Djibouti;Dominican Republic;0
Djibouti;DR Congo;0
Djibouti;Ecuador;0
Djibouti;El Salvador;0
Djibouti;Equatorial Guinea;0
Djibouti;Estonia;0
Djibouti;Fiji;0
Djibouti;French Guiana;0
Djibouti;French Polynesia;0
Djibouti;Gabon;0
Djibouti;Gambia;0
Djibouti;Georgia;0
Djibouti;Ghana;0
Djibouti;Grenada;0
Djibouti;Guadeloupe;0
Djibouti;Guam;0
Djibouti;Guatemala;0
Djibouti;Guinea-Bissau;0
Djibouti;Guyana;0
Djibouti;Haiti;0
Djibouti;Honduras;0
Djibouti;Hong Kong;0
Djibouti;Iceland;0
Djibouti;India;0
Djibouti;Indonesia;0
Djibouti;Iran;0
Djibouti;Iraq;0
Djibouti;Ireland;0
Djibouti;Ivory Coast;0
Djibouti;Jamaica;0
Djibouti;Japan;0
Djibouti;Kazakhstan;0
Djibouti;Kyrgyzstan;0
Djibouti;Laos;0
Djibouti;Latvia;0
Djibouti;Lebanon;0
Djibouti;Lesotho;0
Djibouti;Liberia;0
Djibouti;Lithuania;0
Djibouti;Macao;0
Djibouti;Macedonia;0
Djibouti;Madagascar;0
Djibouti;Malawi;0
Djibouti;Maldives;0
Djibouti;Mali;0
Djibouti;Martinique;0
Djibouti;Mauritania;0
Djibouti;Mauritius;0
Djibouti;Mayotte;0
Djibouti;Mexico;0
Djibouti;Micronesia;0
Djibouti;Moldova;0
Djibouti;Mongolia;0
Djibouti;Montenegro;0
Djibouti;Morocco;0
Djibouti;Mozambique;0
Djibouti;Myanmar;0
Djibouti;Namibia;0
Djibouti;Nepal;0
Djibouti;New Caledonia;0
Djibouti;Nicaragua;0
Djibouti;Niger;0
Djibouti;Nigeria;0
Djibouti;North Korea;0
Djibouti;Oman;0
Djibouti;Pakistan;0
Djibouti;Palestine;0
Djibouti;Panama;0
Djibouti;Papua New Guinea;0
Djibouti;Paraguay;0
Djibouti;Peru;0
Djibouti;Philippines;0
Djibouti;Poland;0
Djibouti;Portugal;0
Djibouti;Puerto Rico;0
Djibouti;Reunion;0
Djibouti;Rwanda;0
Djibouti;Saint Lucia;0
Djibouti;Saint Vincent & Grenadines;0
Djibouti;Samoa;0
Djibouti;Sao Tome & Principe;0
Djibouti;Senegal;0
Djibouti;Serbia;0
Djibouti;Sierra Leone;0
Djibouti;Singapore;0
Djibouti;Slovakia;0
Djibouti;Slovenia;0
Djibouti;Solomon Islands;0
Djibouti;South Korea;0
Djibouti;Sri Lanka;0
Djibouti;Suriname;0
Djibouti;Swaziland;0
Djibouti;Tajikistan;0
Djibouti;Thailand;0
Djibouti;Timor-Leste;0
Djibouti;Togo;0
Djibouti;Tonga;0
Djibouti;Trinidad & Tobago;0
Djibouti;Tunisia;0
Djibouti;Turkmenistan;0
Djibouti;Ukraine;0
Djibouti;Uruguay;0
Djibouti;Uzbekistan;0
Djibouti;Vanuatu;0
Djibouti;Venezuela;0
Djibouti;Vietnam;0
Djibouti;Virgin Islands;0
Djibouti;Western Sahara;0
Djibouti;Zambia;0
Djibouti;Zimbabwe;0
Dominican Republic;United States;235921
Dominican Republic;Haiti;54424
Dominican Republic;Spain;33619
Dominican Republic;Chile;33304
Dominican Republic;Italy;14017
Dominican Republic;Venezuela;6443
Dominican Republic;Puerto Rico;5308
Dominican Republic;Germany;3346
Dominican Republic;Switzerland;2878
Dominican Republic;Canada;2733
Dominican Republic;Brazil;1729
Dominican Republic;France;1530
Dominican Republic;Netherlands;1252
Dominican Republic;Panama;1099
Dominican Republic;Austria;870
Dominican Republic;Colombia;804
Dominican Republic;Mexico;789
Dominican Republic;Belgium;764
Dominican Republic;Aruba;532
Dominican Republic;Virgin Islands;517
Dominican Republic;Luxembourg;442
Dominican Republic;China;424
Dominican Republic;Cuba;384
Dominican Republic;Bahamas;323
Dominican Republic;United Kingdom;320
Dominican Republic;Peru;285
Dominican Republic;Norway;254
Dominican Republic;Argentina;207
Dominican Republic;Sweden;206
Dominican Republic;Romania;183
Dominican Republic;Costa Rica;172
Dominican Republic;Guadeloupe;163
Dominican Republic;Greece;124
Dominican Republic;Ecuador;113
Dominican Republic;French Guiana;110
Dominican Republic;Honduras;107
Dominican Republic;Portugal;101
Dominican Republic;Guatemala;96
Dominican Republic;Finland;74
Dominican Republic;Russia;74
Dominican Republic;Slovenia;65
Dominican Republic;South Korea;64
Dominican Republic;Denmark;58
Dominican Republic;Czech Republic;57
Dominican Republic;Ukraine;51
Dominican Republic;Bulgaria;43
Dominican Republic;Bolivia;42
Dominican Republic;Japan;42
Dominican Republic;Australia;41
Dominican Republic;Nicaragua;38
Dominican Republic;El Salvador;34
Dominican Republic;Hungary;34
Dominican Republic;Martinique;29
Dominican Republic;Kazakhstan;22
Dominican Republic;Iceland;20
Dominican Republic;Uruguay;20
Dominican Republic;Poland;18
Dominican Republic;Lebanon;16
Dominican Republic;Slovakia;14
Dominican Republic;Cambodia;13
Dominican Republic;Central African Republic;13
Dominican Republic;Jamaica;12
Dominican Republic;Turkey;12
Dominican Republic;India;10
Dominican Republic;Israel;9
Dominican Republic;Serbia;9
Dominican Republic;Pakistan;8
Dominican Republic;Saint Lucia;8
Dominican Republic;Trinidad & Tobago;7
Dominican Republic;Belarus;6
Dominican Republic;Philippines;6
Dominican Republic;Ireland;5
Dominican Republic;Cameroon;4
Dominican Republic;Iraq;4
Dominican Republic;Morocco;4
Dominican Republic;Uzbekistan;4
Dominican Republic;Estonia;3
Dominican Republic;Iran;3
Dominican Republic;Macedonia;3
Dominican Republic;Nigeria;3
Dominican Republic;Paraguay;3
Dominican Republic;South Africa;3
Dominican Republic;Bahrain;2
Dominican Republic;Guyana;2
Dominican Republic;Malaysia;2
Dominican Republic;Malta;2
Dominican Republic;Moldova;2
Dominican Republic;Saudi Arabia;2
Dominican Republic;Suriname;2
Dominican Republic;Syria;2
Dominican Republic;Belize;1
Dominican Republic;Bhutan;1
Dominican Republic;Chad;1
Dominican Republic;Cyprus;1
Dominican Republic;DR Congo;1
Dominican Republic;Guam;1
Dominican Republic;Guinea;1
Dominican Republic;Hong Kong;1
Dominican Republic;Jordan;1
Dominican Republic;New Zealand;1
Dominican Republic;Palestine;1
Dominican Republic;Reunion;1
Dominican Republic;Thailand;1
Dominican Republic;United Arab Emirates;1
Dominican Republic;Afghanistan;0
Dominican Republic;Albania;0
Dominican Republic;Algeria;0
Dominican Republic;Angola;0
Dominican Republic;Armenia;0
Dominican Republic;Azerbaijan;0
Dominican Republic;Bangladesh;0
Dominican Republic;Barbados;0
Dominican Republic;Benin;0
Dominican Republic;Bosnia & Herzegovina;0
Dominican Republic;Botswana;0
Dominican Republic;Brunei;0
Dominican Republic;Burkina Faso;0
Dominican Republic;Burundi;0
Dominican Republic;Cape Verde;0
Dominican Republic;Channel Islands;0
Dominican Republic;Comoros;0
Dominican Republic;Congo;0
Dominican Republic;Croatia;0
Dominican Republic;Djibouti;0
Dominican Republic;Dominican Republic;0
Dominican Republic;Egypt;0
Dominican Republic;Equatorial Guinea;0
Dominican Republic;Eritrea;0
Dominican Republic;Ethiopia;0
Dominican Republic;Fiji;0
Dominican Republic;French Polynesia;0
Dominican Republic;Gabon;0
Dominican Republic;Gambia;0
Dominican Republic;Georgia;0
Dominican Republic;Ghana;0
Dominican Republic;Grenada;0
Dominican Republic;Guinea-Bissau;0
Dominican Republic;Indonesia;0
Dominican Republic;Ivory Coast;0
Dominican Republic;Kenya;0
Dominican Republic;Kuwait;0
Dominican Republic;Kyrgyzstan;0
Dominican Republic;Laos;0
Dominican Republic;Latvia;0
Dominican Republic;Lesotho;0
Dominican Republic;Liberia;0
Dominican Republic;Libya;0
Dominican Republic;Lithuania;0
Dominican Republic;Macao;0
Dominican Republic;Madagascar;0
Dominican Republic;Malawi;0
Dominican Republic;Maldives;0
Dominican Republic;Mali;0
Dominican Republic;Mauritania;0
Dominican Republic;Mauritius;0
Dominican Republic;Mayotte;0
Dominican Republic;Micronesia;0
Dominican Republic;Mongolia;0
Dominican Republic;Montenegro;0
Dominican Republic;Mozambique;0
Dominican Republic;Myanmar;0
Dominican Republic;Namibia;0
Dominican Republic;Nepal;0
Dominican Republic;New Caledonia;0
Dominican Republic;Niger;0
Dominican Republic;North Korea;0
Dominican Republic;Oman;0
Dominican Republic;Papua New Guinea;0
Dominican Republic;Qatar;0
Dominican Republic;Rwanda;0
Dominican Republic;Saint Vincent & Grenadines;0
Dominican Republic;Samoa;0
Dominican Republic;Sao Tome & Principe;0
Dominican Republic;Senegal;0
Dominican Republic;Sierra Leone;0
Dominican Republic;Singapore;0
Dominican Republic;Solomon Islands;0
Dominican Republic;Somalia;0
Dominican Republic;South Sudan;0
Dominican Republic;Sri Lanka;0
Dominican Republic;Sudan;0
Dominican Republic;Swaziland;0
Dominican Republic;Tajikistan;0
Dominican Republic;Tanzania;0
Dominican Republic;Timor-Leste;0
Dominican Republic;Togo;0
Dominican Republic;Tonga;0
Dominican Republic;Tunisia;0
Dominican Republic;Turkmenistan;0
Dominican Republic;Uganda;0
Dominican Republic;Vanuatu;0
Dominican Republic;Vietnam;0
Dominican Republic;Western Sahara;0
Dominican Republic;Yemen;0
Dominican Republic;Zambia;0
Dominican Republic;Zimbabwe;0
DR Congo;Uganda;111439
DR Congo;Rwanda;59245
DR Congo;Angola;45751
DR Congo;Burundi;38918
DR Congo;Central African Republic;24950
DR Congo;Congo;21494
DR Congo;South Sudan;20681
DR Congo;Kenya;16036
DR Congo;Zambia;12449
DR Congo;United States;11141
DR Congo;France;11020
DR Congo;Belgium;10643
DR Congo;Malawi;9363
DR Congo;South Africa;8336
DR Congo;Tanzania;7522
DR Congo;Canada;3791
DR Congo;Greece;3395
DR Congo;United Kingdom;2818
DR Congo;Cameroon;2389
DR Congo;Brazil;1983
DR Congo;Germany;1885
DR Congo;Sudan;1807
DR Congo;Mozambique;1708
DR Congo;Italy;1494
DR Congo;Gabon;1449
DR Congo;Sweden;1369
DR Congo;Switzerland;1193
DR Congo;Australia;934
DR Congo;Norway;625
DR Congo;Luxembourg;608
DR Congo;Netherlands;605
DR Congo;Chad;578
DR Congo;Finland;558
DR Congo;Portugal;521
DR Congo;Namibia;504
DR Congo;Spain;411
DR Congo;Denmark;390
DR Congo;Mali;305
DR Congo;Ethiopia;232
DR Congo;Austria;217
DR Congo;Eritrea;175
DR Congo;Botswana;137
DR Congo;Cyprus;103
DR Congo;Togo;85
DR Congo;Senegal;79
DR Congo;Swaziland;69
DR Congo;Libya;54
DR Congo;Romania;49
DR Congo;Egypt;31
DR Congo;Hungary;30
DR Congo;Turkey;25
DR Congo;Czech Republic;22
DR Congo;Mauritania;15
DR Congo;Mexico;11
DR Congo;Ireland;10
DR Congo;Guinea;9
DR Congo;Estonia;8
DR Congo;Ghana;6
DR Congo;Nicaragua;6
DR Congo;Saudi Arabia;6
DR Congo;Slovenia;5
DR Congo;Bulgaria;4
DR Congo;Philippines;4
DR Congo;Latvia;3
DR Congo;United Arab Emirates;3
DR Congo;Slovakia;2
DR Congo;Thailand;2
DR Congo;Benin;1
DR Congo;Bolivia;1
DR Congo;Dominican Republic;1
DR Congo;India;1
DR Congo;Kuwait;1
DR Congo;Russia;1
DR Congo;Afghanistan;0
DR Congo;Albania;0
DR Congo;Algeria;0
DR Congo;Argentina;0
DR Congo;Armenia;0
DR Congo;Aruba;0
DR Congo;Azerbaijan;0
DR Congo;Bahamas;0
DR Congo;Bahrain;0
DR Congo;Bangladesh;0
DR Congo;Barbados;0
DR Congo;Belarus;0
DR Congo;Belize;0
DR Congo;Bhutan;0
DR Congo;Bosnia & Herzegovina;0
DR Congo;Brunei;0
DR Congo;Burkina Faso;0
DR Congo;Cambodia;0
DR Congo;Cape Verde;0
DR Congo;Channel Islands;0
DR Congo;Chile;0
DR Congo;China;0
DR Congo;Colombia;0
DR Congo;Comoros;0
DR Congo;Costa Rica;0
DR Congo;Croatia;0
DR Congo;Cuba;0
DR Congo;Djibouti;0
DR Congo;DR Congo;0
DR Congo;Ecuador;0
DR Congo;El Salvador;0
DR Congo;Equatorial Guinea;0
DR Congo;Fiji;0
DR Congo;French Guiana;0
DR Congo;French Polynesia;0
DR Congo;Gambia;0
DR Congo;Georgia;0
DR Congo;Grenada;0
DR Congo;Guadeloupe;0
DR Congo;Guam;0
DR Congo;Guatemala;0
DR Congo;Guinea-Bissau;0
DR Congo;Guyana;0
DR Congo;Haiti;0
DR Congo;Honduras;0
DR Congo;Hong Kong;0
DR Congo;Iceland;0
DR Congo;Indonesia;0
DR Congo;Iran;0
DR Congo;Iraq;0
DR Congo;Israel;0
DR Congo;Ivory Coast;0
DR Congo;Jamaica;0
DR Congo;Japan;0
DR Congo;Jordan;0
DR Congo;Kazakhstan;0
DR Congo;Kyrgyzstan;0
DR Congo;Laos;0
DR Congo;Lebanon;0
DR Congo;Lesotho;0
DR Congo;Liberia;0
DR Congo;Lithuania;0
DR Congo;Macao;0
DR Congo;Macedonia;0
DR Congo;Madagascar;0
DR Congo;Malaysia;0
DR Congo;Maldives;0
DR Congo;Malta;0
DR Congo;Martinique;0
DR Congo;Mauritius;0
DR Congo;Mayotte;0
DR Congo;Micronesia;0
DR Congo;Moldova;0
DR Congo;Mongolia;0
DR Congo;Montenegro;0
DR Congo;Morocco;0
DR Congo;Myanmar;0
DR Congo;Nepal;0
DR Congo;New Caledonia;0
DR Congo;New Zealand;0
DR Congo;Niger;0
DR Congo;Nigeria;0
DR Congo;North Korea;0
DR Congo;Oman;0
DR Congo;Pakistan;0
DR Congo;Palestine;0
DR Congo;Panama;0
DR Congo;Papua New Guinea;0
DR Congo;Paraguay;0
DR Congo;Peru;0
DR Congo;Poland;0
DR Congo;Puerto Rico;0
DR Congo;Qatar;0
DR Congo;Reunion;0
DR Congo;Saint Lucia;0
DR Congo;Saint Vincent & Grenadines;0
DR Congo;Samoa;0
DR Congo;Sao Tome & Principe;0
DR Congo;Serbia;0
DR Congo;Sierra Leone;0
DR Congo;Singapore;0
DR Congo;Solomon Islands;0
DR Congo;Somalia;0
DR Congo;South Korea;0
DR Congo;Sri Lanka;0
DR Congo;Suriname;0
DR Congo;Syria;0
DR Congo;Tajikistan;0
DR Congo;Timor-Leste;0
DR Congo;Tonga;0
DR Congo;Trinidad & Tobago;0
DR Congo;Tunisia;0
DR Congo;Turkmenistan;0
DR Congo;Ukraine;0
DR Congo;Uruguay;0
DR Congo;Uzbekistan;0
DR Congo;Vanuatu;0
DR Congo;Venezuela;0
DR Congo;Vietnam;0
DR Congo;Virgin Islands;0
DR Congo;Western Sahara;0
DR Congo;Yemen;0
DR Congo;Zimbabwe;0
Ecuador;Spain;86704
Ecuador;United States;79328
Ecuador;Colombia;33378
Ecuador;Venezuela;28926
Ecuador;Italy;25543
Ecuador;Chile;21214
Ecuador;Peru;7718
Ecuador;Canada;5412
Ecuador;Germany;4590
Ecuador;Switzerland;3544
Ecuador;United Kingdom;2893
Ecuador;Belgium;2264
Ecuador;France;1725
Ecuador;Mexico;1512
Ecuador;Brazil;1231
Ecuador;Netherlands;1057
Ecuador;Argentina;879
Ecuador;Panama;825
Ecuador;Sweden;772
Ecuador;Australia;756
Ecuador;Bolivia;533
Ecuador;Austria;481
Ecuador;Costa Rica;447
Ecuador;Russia;429
Ecuador;Cuba;396
Ecuador;China;359
Ecuador;Romania;358
Ecuador;Honduras;323
Ecuador;Norway;307
Ecuador;Ukraine;285
Ecuador;Portugal;252
Ecuador;Luxembourg;239
Ecuador;Dominican Republic;232
Ecuador;Hungary;209
Ecuador;Denmark;204
Ecuador;Guatemala;170
Ecuador;Czech Republic;155
Ecuador;Philippines;149
Ecuador;South Korea;140
Ecuador;Finland;132
Ecuador;Poland;123
Ecuador;Israel;122
Ecuador;Kazakhstan;117
Ecuador;Uruguay;112
Ecuador;Japan;111
Ecuador;New Zealand;94
Ecuador;El Salvador;85
Ecuador;Puerto Rico;82
Ecuador;Bulgaria;81
Ecuador;Nicaragua;64
Ecuador;Ireland;63
Ecuador;North Korea;63
Ecuador;Turkey;58
Ecuador;Greece;56
Ecuador;South Africa;55
Ecuador;Lebanon;52
Ecuador;Slovakia;52
Ecuador;Bahamas;36
Ecuador;Belarus;33
Ecuador;Estonia;28
Ecuador;Paraguay;28
Ecuador;Iceland;27
Ecuador;India;27
Ecuador;Iran;25
Ecuador;Egypt;23
Ecuador;Uzbekistan;21
Ecuador;Haiti;17
Ecuador;Trinidad & Tobago;17
Ecuador;Croatia;14
Ecuador;Jordan;14
Ecuador;Afghanistan;12
Ecuador;Saudi Arabia;12
Ecuador;Hong Kong;11
Ecuador;Malta;11
Ecuador;Slovenia;9
Ecuador;Albania;8
Ecuador;Indonesia;8
Ecuador;Lithuania;8
Ecuador;Moldova;8
Ecuador;Palestine;8
Ecuador;Algeria;7
Ecuador;Aruba;7
Ecuador;Jamaica;7
Ecuador;Morocco;7
Ecuador;Serbia;7
Ecuador;Vietnam;7
Ecuador;Angola;6
Ecuador;Cameroon;6
Ecuador;Ghana;6
Ecuador;Syria;6
Ecuador;Armenia;5
Ecuador;Iraq;5
Ecuador;Cyprus;4
Ecuador;Gambia;4
Ecuador;Malaysia;4
Ecuador;Pakistan;4
Ecuador;Qatar;4
Ecuador;Belize;3
Ecuador;Georgia;3
Ecuador;Latvia;3
Ecuador;Nigeria;3
Ecuador;Azerbaijan;2
Ecuador;Guinea;2
Ecuador;Kyrgyzstan;2
Ecuador;Macedonia;2
Ecuador;Bangladesh;1
Ecuador;Guyana;1
Ecuador;Lesotho;1
Ecuador;Libya;1
Ecuador;Mongolia;1
Ecuador;Saint Lucia;1
Ecuador;Singapore;1
Ecuador;Tunisia;1
Ecuador;United Arab Emirates;1
Ecuador;Bahrain;0
Ecuador;Barbados;0
Ecuador;Benin;0
Ecuador;Bhutan;0
Ecuador;Bosnia & Herzegovina;0
Ecuador;Botswana;0
Ecuador;Brunei;0
Ecuador;Burkina Faso;0
Ecuador;Burundi;0
Ecuador;Cambodia;0
Ecuador;Cape Verde;0
Ecuador;Central African Republic;0
Ecuador;Chad;0
Ecuador;Channel Islands;0
Ecuador;Comoros;0
Ecuador;Congo;0
Ecuador;Djibouti;0
Ecuador;DR Congo;0
Ecuador;Ecuador;0
Ecuador;Equatorial Guinea;0
Ecuador;Eritrea;0
Ecuador;Ethiopia;0
Ecuador;Fiji;0
Ecuador;French Guiana;0
Ecuador;French Polynesia;0
Ecuador;Gabon;0
Ecuador;Grenada;0
Ecuador;Guadeloupe;0
Ecuador;Guam;0
Ecuador;Guinea-Bissau;0
Ecuador;Ivory Coast;0
Ecuador;Kenya;0
Ecuador;Kuwait;0
Ecuador;Laos;0
Ecuador;Liberia;0
Ecuador;Macao;0
Ecuador;Madagascar;0
Ecuador;Malawi;0
Ecuador;Maldives;0
Ecuador;Mali;0
Ecuador;Martinique;0
Ecuador;Mauritania;0
Ecuador;Mauritius;0
Ecuador;Mayotte;0
Ecuador;Micronesia;0
Ecuador;Montenegro;0
Ecuador;Mozambique;0
Ecuador;Myanmar;0
Ecuador;Namibia;0
Ecuador;Nepal;0
Ecuador;New Caledonia;0
Ecuador;Niger;0
Ecuador;Oman;0
Ecuador;Papua New Guinea;0
Ecuador;Reunion;0
Ecuador;Rwanda;0
Ecuador;Saint Vincent & Grenadines;0
Ecuador;Samoa;0
Ecuador;Sao Tome & Principe;0
Ecuador;Senegal;0
Ecuador;Sierra Leone;0
Ecuador;Solomon Islands;0
Ecuador;Somalia;0
Ecuador;South Sudan;0
Ecuador;Sri Lanka;0
Ecuador;Sudan;0
Ecuador;Suriname;0
Ecuador;Swaziland;0
Ecuador;Tajikistan;0
Ecuador;Tanzania;0
Ecuador;Thailand;0
Ecuador;Timor-Leste;0
Ecuador;Togo;0
Ecuador;Tonga;0
Ecuador;Turkmenistan;0
Ecuador;Uganda;0
Ecuador;Vanuatu;0
Ecuador;Virgin Islands;0
Ecuador;Western Sahara;0
Ecuador;Yemen;0
Ecuador;Zambia;0
Ecuador;Zimbabwe;0
Egypt;Saudi Arabia;141753
Egypt;United Arab Emirates;107688
Egypt;United States;78337
Egypt;Kuwait;62701
Egypt;Italy;60638
